"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2020-11-16T21:57:34.0088622+02:00[Europe/Bucharest]","0.0","10.25"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2020-11-16T21:57:44.8886388+02:00[Europe/Bucharest]","0.0","0.44"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2020-11-16T21:57:45.4541769+02:00[Europe/Bucharest]","0.0","5.15"
"Books express story","Search book","ERROR","2020-11-19T18:45:59.502795+02:00[Europe/Bucharest]","0.0","1.23"
"Books express story","Login user","FAILURE","2020-11-20T00:30:41.3652058+02:00[Europe/Bucharest]","0.0","24.4"
"Books express story","Login user","SUCCESS","2020-11-20T12:50:00.7606285+02:00[Europe/Bucharest]","0.0","22.89"
"Books express story","Search book","SUCCESS","2020-11-20T15:04:25.7994638+02:00[Europe/Bucharest]","0.0","8.76"
"Books express story","Added book to cart","SUCCESS","2020-11-20T15:04:34.6900627+02:00[Europe/Bucharest]","0.0","12.62"
"Books express story","Added book to wishlist","SUCCESS","2020-11-20T15:04:47.4355208+02:00[Europe/Bucharest]","0.0","8.87"
"Books express story","Login user with invalid password","SUCCESS","2020-11-20T19:55:08.7217822+02:00[Europe/Bucharest]","0.0","11.65"
"Books express story","Search for a book added book to wishlist and cart","SUCCESS","2020-11-20T19:55:21.3619366+02:00[Europe/Bucharest]","0.0","13.27"
"Books express story","Login user with valid credentials","SUCCESS","2020-11-20T19:55:34.7506466+02:00[Europe/Bucharest]","0.0","5.18"
